_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,time_dependent15,time_dependent16,_c17,_c18,time_dependent19,time_dependent20,_c21,_c22,time_dependent23,independent24,_c25,_c26,independent27,_c28,_c29,independent30,independent31,independent32,independent33,independent34,independent35,independent36,independent37,independent38,independent39,independent40,_c41,_c42
A,"31,797",2,9,11,4,2001-07-04,2003-03-31,635,"530,000,000",20,1,Project-G-2,0.09,0.09,0.09,0.06,0.06,0.06,0.06,1.00,0.05,0.05,0.05,0.01,0.94,0.94,0.94,1.17,1.17,1.17,0.99,0.85,1,1.00250350490687,"31,797",11,"530,000,000",-0.2,99.46,55.41,1.00472440944882,0.955181838944
B,"7,707",2,14,16,1,2001-11-24,2003-10-20,695,"153,500,000",22,1,Project-H-1,0.05,0.05,0.05,0.03,0.01,0.01,0.01,1.00,0.03,0.03,0.03,0.00,0.40,0.40,0.40,0.34,0.34,0.34,0.49,1.47,1,0.99959831291424,"7,707",16,"153,500,000",0.99,99.46,55.37,1.05035971223022,0.902724328154
C,"10,087",3,14,17,1,2002-06-18,2004-07-06,749,"216,000,000",27,1,Project-I-4,0.18,0.18,0.18,0.10,0.10,0.10,0.10,1.00,0.10,0.10,0.10,0.00,1.00,1.00,1.00,1.01,1.01,1.01,0.89,0.88,1,0.990148263753414,"10,087",17,"216,000,000",0.37,107.94,57.76,0.894526034712951,0.9813299214692
G,"4,774",2,11,13,1,2004-02-21,2006-02-20,730,"145,377,589",27,1,Project-L-3,0.12,0.12,0.12,0.06,0.06,0.06,0.06,1.00,0.03,0.03,0.03,0.01,1.00,0.94,0.97,1.82,1.82,1.82,0,0,1,1.015154080596,"4,774",13,"145,377,589",1.2,108.95,74.06,0.929181929181929,0.9048445693288
J,"3,094",2,7,9,1,2005-10-01,2007-02-28,515,"102,500,000",15,1,Project-O-3,0.17,0.17,0.17,0.12,0.19,0.19,0.19,1.00,0.09,0.09,0.09,0.02,1.62,1.62,1.62,2.11,2.11,2.11,1.46,0.69,1,0.997448559670782,"3,094",9,"102,500,000",0.78,102,73.97,0.94368932038835,0.837889396234
