project_id,total_area_m2,underground_floors,ground_floors,total_floors,buildings,start_date,finish_date,duration_days,total_contract_budget_ntd,prediction_period,actual_duration_h,actual_duration_d,actual_duration_value,planned_work_percent,actual_work_completed_h,actual_work_completed_d,completed_work_percent,contract_change_percent,budget_spent_h,budget_spent_d,budget_spent_percent,rainy_days,spi_h,spi_d,schedule_performance_index,cpi_h,cpi_d,cost_performance_index,subcontractor_management_score,contract_payment,change_order,price_fluctuation,total_floor_area_m2,num_floors,budget_amount_ntd,labor_market_conditions,worker_productivity,material_cost_index,predicted_schedule_days,predicted_total_cost
C,10087,3,14,17,1,2002-06-18,2004-07-06,749,216000000.00,27,0.18,0.18,0.18,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0,1,1,1,1.01,1.01,1.01,0.89,0.88,1,0.9901,10087,17,216000000.00,0.37,107.94,57.76,0.8945,0.9813
A,31797,2,9,11,4,2001-07-04,2003-03-31,635,530000000.00,20,0.09,0.09,0.09,0.06,0.06,0.06,0.06,1,0.05,0.05,0.05,0.01,0.94,0.94,0.94,1.17,1.17,1.17,0.99,0.85,1,1.0025,31797,11,530000000.00,-0.2,99.46,55.41,1.0047,0.9552
B,7707,2,14,16,1,2001-11-24,2003-10-20,695,153500000.00,22,0.05,0.05,0.05,0.03,0.01,0.01,0.01,1,0.03,0.03,0.03,0,0.4,0.4,0.4,0.34,0.34,0.34,0.49,1.47,1,0.9996,7707,16,153500000.00,0.99,99.46,55.37,1.0504,0.9027
J,3094,2,7,9,1,2005-10-01,2007-02-28,515,102500000.00,15,0.17,0.17,0.17,0.12,0.19,0.19,0.19,1,0.09,0.09,0.09,0.02,1.62,1.62,1.62,2.11,2.11,2.11,1.46,0.69,1,0.9974,3094,9,102500000.00,0.78,102,73.97,0.9437,0.8379
G,4774,2,11,13,1,2004-02-21,2006-02-20,730,145377589.00,27,0.12,0.12,0.12,0.06,0.06,0.06,0.06,1,0.03,0.03,0.03,0.01,1,0.94,0.97,1.82,1.82,1.82,0,0,1,1.0152,4774,13,145377589.00,1.2,108.95,74.06,0.9292,0.9048
