project_id,prediction_period,start_date,finish_date,duration_days,total_contract_budget_ntd,should_have_spent,money_actually_spent,work_completed_value,budget_difference,schedule_difference,cost_efficiency,schedule_efficiency,calculated_cost_efficiency,calculated_schedule_efficiency,budget_difference_percent,schedule_difference_percent,project_health_status,requires_intervention,cost_risk_level,schedule_risk_level,contract_change_percent,rainy_days,subcontractor_management_score,labor_market_conditions,worker_productivity,material_cost_index,predicted_schedule_days,predicted_total_cost,forecast_final_cost,remaining_work_cost
C,27,2002-06-18,2004-07-06,749,"216,000,000.00","21,600,000.0000","21,600,000.0000","21,600,000.0000",0.0000,0.0000,1.01,1,1,1,0.0000,0.0000,Healthy,No,Okay,OK,1,0,0.89,0.37,107.94,57.76,0.8945,0.9813,"213,861,386.1386","192,261,386.1386"
A,20,2001-07-04,2003-03-31,635,"530,000,000.00","31,800,000.0000","26,500,000.0000","31,800,000.0000","5,300,000.0000",0.0000,1.17,0.94,1.2,1,20.0000,0.0000,At Risk,No,Okay,Delay,1,0.01,0.99,-0.2,99.46,55.41,1.0047,0.9552,"452,991,452.9915","426,491,452.9915"
B,22,2001-11-24,2003-10-20,695,"153,500,000.00","4,605,000.0000","4,605,000.0000","1,535,000.0000","-3,070,000.0000","-3,070,000.0000",0.34,0.4,0.3333,0.3333,-66.6667,-66.6667,Failing,Yes,Overrun,Delay,1,0,0.49,0.99,99.46,55.37,1.0504,0.9027,"451,470,588.2353","446,865,588.2353"
J,15,2005-10-01,2007-02-28,515,"102,500,000.00","12,300,000.0000","9,225,000.0000","19,475,000.0000","10,250,000.0000","7,175,000.0000",2.11,1.62,2.1111,1.5833,111.1111,58.3333,Healthy,No,Okay,OK,1,0.02,1.46,0.78,102,73.97,0.9437,0.8379,"48,578,199.0521","39,353,199.0521"
G,27,2004-02-21,2006-02-20,730,"145,377,589.00","8,722,655.3400","4,361,327.6700","8,722,655.3400","4,361,327.6700",0.0000,1.82,0.97,2,1,100.0000,0.0000,At Risk,No,Okay,Delay,1,0.01,0,1.2,108.95,74.06,0.9292,0.9048,"79,877,796.1538","75,516,468.4838"
